FECHA,EMISOR,MONEDA,TASA,TASA/MARGEN,PLAZO (en meses),VN,CALIFICACIÓN
8-may-25,Distribuidora de Electricidad de Mendoza,ARS,Tamar,"7,00%",12,"13948,80",A2
7-may-25,Arcor,USD Mep,Fija,"6,75%",24,"68,40",AAA
7-may-25,Arcor,ARS,Tamar,"2,74%",12,"33329,20",A1+
7-may-25,Galicia,USD Cable,Fija,"0,00%",6,"128,00",A-1 (Moody's)
6-may-25,YPF,USD Mep,Fija,"7,00%",24,"139,50",AAA (Fix SCR) / AAA (Moody´s)
29-abr-25,Banco de Galicia,ARS,Tamar,"3,50%",12,"53701,80",A-1 (Moody's)
29-abr-25,Banco de Galicia,ARS,TEM,"2,65%",6,"12195,50",A-1 (Moody's)
29-abr-25,Comafi,USD Mep,Fija,"4,25%",3,"36,30",A1+
29-abr-25,Comafi,ARS,TEM,"2,70%",11,"6001,60",A1+
29-abr-25,Comafi,USD Cable,Fija,"0,75%",6,"27,70",A1+
29-abr-25,Pluspetrol,USD Mep,Fija,"7,25%",36,"90,70",AAA
25-abr-25,Tarjeta Naranja,USD Mep,Fija,"7,90%",24,"32,70",AA
25-abr-25,Tarjeta Naranja,USD Cable,Fija,"0,00%",6,"45,00",A1+
25-abr-25,Tarjeta Naranja,ARS,Tamar,"4,50%",12,"85073,00",A1+
14-abr-25,MSU Agro,USD Mep,Fija,"8,50%",48,"34,90",A+
10-abr-25,Pan American Energy,USD Linked,Fija,"2,00%",18,"200,00",AAA
4-abr-25,YPF,USD Linked,Fija,"1,00%",14,"204,00",AAA
25-mar-25,IRSA,USD Int,Fija,"8,00%",120,"300,50",AAA
10-mar-25,Banco Industrial,USD Mep,Fija,"4,75%",6,"37,30",A-1 (Moody's)
10-mar-25,Banco de Valores,USD Mep,Fija,"7,50%",24,"30,00",AA+
7-mar-25,Banco Columbia,ARS,Tamar,"4,99%",12,"18877,80",A3
7-mar-25,Galicia,USD Mep,Fija,"4,75%",12,"69,90",A-1 (Moody´s)
6-mar-25,Banco Comafi,ARS,Tamar,"2,85%",12,"22175,00",A1+
6-mar-25,Pan American Energy,ARS,Tamar,"2,15%",12,"55000,00",A-1 (Moody´s) / A1+ (Fix SCR)
6-mar-25,Pecom,USD Mep,Fija,"7,90%",48,"29,90",AA-
6-mar-25,Supervielle,ARS,Tamar,"2,75%",12,"30580,00",A-1 (Moody´s)
5-mar-25,CGC,USD Mep,Fija,"7,00%",24,"27,60",AA- (Moody´s)
5-mar-25,Vista Energy,USD Cable,Fija,"7,50%",60,"92,40",AAA (Fix SCR) / AAA (Moody´s)
27-feb-25,Genneia,USD Mep,Fija,"6,50%",36,"27,80",AA+ (Moody´s) / SVS
